row_index,true_label,predicted_label,true_rank,reciprocal_rank,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,a big black triangle is above a medium pink diamond,637,0.0015698587127158557,0.8436083793640137,0.0010025107767432928,0,0,0,2,0.2857142857142857,0,0,0
7560,above a big green octagon is a small red triangle,a big green octagon is above a big blue triangle,141,0.0070921985815602835,0.9102360010147095,0.0005754100275225937,0,0,0,2,0.2857142857142857,1,0,0
624,a small green hexagon can be seen above a medium blue octagon,a big green octagon is above a big blue triangle,966,0.0010351966873706005,0.7852147221565247,0.0013768287608399987,0,0,0,3,0.42857142857142855,1,0,0
1616,a big yellow octagon is below a big pink diamond,a big green octagon is above a big blue triangle,131,0.007633587786259542,0.912880003452301,0.0005584621685557067,0,0,0,3,0.42857142857142855,0,0,0
7246,right of a medium green hexagon is a medium black square,left of a big pink circle is a big yellow square,731,0.0013679890560875513,0.8216344118118286,0.0011433695908635855,0,0,0,1,0.14285714285714285,0,0,0
8414,the small red octagon is positioned below a small red diamond,a big green octagon is above a big blue triangle,650,0.0015384615384615385,0.8508983254432678,0.0009557801531627774,0,0,0,1,0.14285714285714285,0,0,0
1980,the big green circle is positioned right of a big orange octagon,left of a big pink circle is a big yellow square,32,0.03125,0.9333215355873108,0.0004274269158486277,0,0,0,2,0.2857142857142857,0,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,left of a big pink circle is a big yellow square,574,0.0017421602787456446,0.8568621873855591,0.0009175504674203694,0,0,0,4,0.5714285714285714,1,0,0
495,a medium green circle can be seen right of a small blue square,a small red circle is above a big blue square,285,0.0035087719298245615,0.8823676705360413,0.0007540539954788983,0,0,0,3,0.42857142857142855,0,1,0
6036,below a big purple square is a small yellow square,left of a big pink circle is a big yellow square,183,0.00546448087431694,0.8986452221870422,0.0006497097201645374,0,0,0,3,0.42857142857142855,0,0,0
9756,the medium pink triangle is positioned left of a small black triangle,left of a big pink circle is a big yellow square,618,0.0016181229773462784,0.8522250056266785,0.000947275198996067,0,0,0,1,0.14285714285714285,1,0,0
3308,a big red diamond is left of a medium orange square,left of a big pink circle is a big yellow square,40,0.025,0.9319539070129395,0.00043619415373541415,0,0,0,2,0.2857142857142857,1,0,0
5485,a small yellow circle is left of a big yellow diamond,left of a big pink circle is a big yellow square,194,0.005154639175257732,0.9042084217071533,0.0006140484474599361,0,0,0,3,0.42857142857142855,1,0,0
2499,a medium pink diamond can be seen above a big yellow circle,left of a big pink circle is a big yellow square,175,0.005714285714285714,0.90472811460495,0.0006107171648181975,0,0,0,2,0.2857142857142857,0,0,0
355,the big pink hexagon is positioned below a big orange triangle,a big green octagon is above a big blue triangle,69,0.014492753623188406,0.9219571352005005,0.0005002759280614555,0,0,0,3,0.42857142857142855,0,0,0
3868,the medium orange hexagon is positioned above a small black circle,a small red circle is above a big blue square,592,0.0016891891891891893,0.8665304183959961,0.0008555744425393641,0,0,0,1,0.14285714285714285,1,0,0
422,the big purple octagon is positioned right of a small green hexagon,a big pink square is left of a big red octagon,424,0.0023584905660377358,0.8711240887641907,0.0008261280017904937,0,0,0,1,0.14285714285714285,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,a big green octagon is above a big blue triangle,744,0.0013440860215053765,0.8269103765487671,0.0011095490772277117,0,0,0,0,0.0,0,0,0
7102,a big orange triangle is left of a medium green hexagon,left of a big pink circle is a big yellow square,324,0.0030864197530864196,0.8883756995201111,0.000715540605597198,0,0,0,2,0.2857142857142857,1,0,0
4121,above a small green triangle is a small yellow octagon,a big yellow square is above a small red triangle,785,0.0012738853503184713,0.8229008913040161,0.0011352511355653405,0,0,0,4,0.5714285714285714,1,0,0
2778,left of a medium blue hexagon is a medium orange triangle,a big green octagon is above a big blue triangle,805,0.0012422360248447205,0.8175966739654541,0.0011692530242726207,0,0,0,1,0.14285714285714285,0,0,0
3489,the medium black triangle is positioned below a big black triangle,a big black triangle is above a medium pink diamond,524,0.0019083969465648854,0.8585086464881897,0.0009069968946278095,0,0,0,2,0.2857142857142857,0,0,0
