row_index,true_label,predicted_label,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,below a small pink diamond is a big pink circle,0.8987331986427307,0.0005274316645227373,0,0,0,2,0.2857142857142857,1,0,0
7560,above a big green octagon is a small red triangle,below a small orange octagon is a big pink triangle,0.8635644316673279,0.000710601219907403,0,0,0,2,0.2857142857142857,0,1,0
624,a small green hexagon can be seen above a medium blue octagon,below a small pink octagon is a big green hexagon,0.858484148979187,0.0007370621897280216,0,1,0,3,0.42857142857142855,0,1,0
1616,a big yellow octagon is below a big pink diamond,a big pink diamond can be seen below a medium orange octagon,0.8779250979423523,0.0006358067621476948,0,1,0,2,0.2857142857142857,1,0,0
7246,right of a medium green hexagon is a medium black square,right of a medium pink square is a small black octagon,0.8487164974212646,0.0007879352779127657,0,0,0,3,0.42857142857142855,1,0,0
8414,the small red octagon is positioned below a small red diamond,above a small pink diamond is a small red hexagon,0.8477857708930969,0.0007927828119136393,0,0,0,4,0.5714285714285714,0,0,0
1980,the big green circle is positioned right of a big orange octagon,left of a big green hexagon is a big orange octagon,0.870862603187561,0.0006725907442159951,0,0,0,2,0.2857142857142857,0,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,a medium pink triangle is right of a small purple circle,0.8846151828765869,0.0006009628996253014,0,1,0,1,0.14285714285714285,0,0,0
495,a medium green circle can be seen right of a small blue square,a small blue octagon is right of a small pink circle,0.7861464023590088,0.001113820937462151,0,0,0,2,0.2857142857142857,1,0,0
6036,below a big purple square is a small yellow square,below a big purple square is a small yellow square,0.8950994610786438,0.0005463573033921421,1,1,1,7,1.0,1,1,1
9756,the medium pink triangle is positioned left of a small black triangle,a medium pink triangle is right of a small purple circle,0.9128987789154053,0.0004536523774731904,0,1,0,4,0.5714285714285714,0,0,0
3308,a big red diamond is left of a medium orange square,a medium pink diamond can be seen left of a big orange square,0.8894832134246826,0.0005756091559305787,0,0,0,4,0.5714285714285714,1,1,0
5485,a small yellow circle is left of a big yellow diamond,a small pink triangle is right of a medium orange diamond,0.8721452355384827,0.0006659104838036001,0,0,0,2,0.2857142857142857,0,0,0
2499,a medium pink diamond can be seen above a big yellow circle,a big yellow octagon is below a big pink diamond,0.8595890402793884,0.0007313070818781853,0,0,0,1,0.14285714285714285,0,0,0
355,the big pink hexagon is positioned below a big orange triangle,above a big pink triangle is a small orange triangle,0.8618966937065125,0.0007192879565991461,0,0,0,2,0.2857142857142857,0,0,0
3868,the medium orange hexagon is positioned above a small black circle,below a small pink octagon is a big green hexagon,0.8431251049041748,0.0008170567452907562,0,0,0,2,0.2857142857142857,0,0,0
422,the big purple octagon is positioned right of a small green hexagon,left of a medium purple square is a big pink octagon,0.8736921548843384,0.000657853961456567,0,0,0,2,0.2857142857142857,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,a small pink triangle is right of a medium orange diamond,0.8712263107299805,0.0006706966669298708,0,0,0,0,0.0,0,0,0
7102,a big orange triangle is left of a medium green hexagon,left of a big pink triangle is a medium orange hexagon,0.8572565913200378,0.0007434551953338087,0,0,0,2,0.2857142857142857,1,0,0
4121,above a small green triangle is a small yellow octagon,the small pink triangle is positioned below a small orange triangle,0.8519294261932373,0.000771201157476753,0,0,0,3,0.42857142857142855,0,0,0
2778,left of a medium blue hexagon is a medium orange triangle,left of a medium pink hexagon is a big purple triangle,0.8648490905761719,0.000703910831362009,0,0,0,4,0.5714285714285714,1,1,0
3489,the medium black triangle is positioned below a big black triangle,a small pink triangle is below a big green triangle,0.8206539750099182,0.0009340943652205169,0,0,0,4,0.5714285714285714,1,1,0
6561,a medium yellow circle is right of a medium pink diamond,a small pink triangle is right of a medium orange diamond,0.8250716924667358,0.0009110847604461014,0,0,0,3,0.42857142857142855,1,0,0
4377,above a medium orange square is a big yellow diamond,a small pink square is above a medium orange diamond,0.9138809442520142,0.0004485366807784885,0,1,0,3,0.42857142857142855,1,0,0
62,a big orange square can be seen right of a small yellow square,a big pink square is right of a small orange circle,0.8652676343917847,0.0007017313619144261,0,0,0,4,0.5714285714285714,1,0,0
5094,the medium yellow triangle is positioned right of a medium pink triangle,a medium pink triangle is right of a small purple circle,0.8808280229568481,0.0006206880789250135,0,1,0,3,0.42857142857142855,1,0,0
4119,a small green diamond is right of a medium blue hexagon,the small pink diamond is positioned right of a medium blue hexagon,0.8984377384185791,0.000528970209416002,0,1,0,6,0.8571428571428571,1,1,0
8360,left of a big pink circle is a small orange circle,a big pink square can be seen left of a small orange octagon,0.8232241272926331,0.0009207076509483159,0,0,0,1,0.14285714285714285,1,0,0
2610,the medium pink diamond is positioned below a medium blue octagon,below a big pink hexagon is a medium orange diamond,0.8686813712120056,0.0006839512498117983,0,1,0,3,0.42857142857142855,1,0,0
5847,above a small blue triangle is a small purple octagon,a small purple triangle can be seen above a small pink circle,0.8830325603485107,0.0006092055118642747,0,1,0,4,0.5714285714285714,1,0,0
1693,right of a medium purple triangle is a medium blue diamond,the medium blue diamond is positioned left of a small pink triangle,0.9233695268630981,0.0003991176781710237,0,1,0,4,0.5714285714285714,0,1,0
1068,the small black hexagon is positioned below a medium yellow square,above a small pink hexagon is a small purple square,0.8196495175361633,0.0009393254877068102,0,0,0,1,0.14285714285714285,0,0,0
6921,a big yellow circle can be seen above a medium blue triangle,below a small purple square is a medium yellow triangle,0.7901118397712708,0.0010931678116321564,0,0,0,1,0.14285714285714285,0,0,0
8758,a big blue octagon can be seen above a medium purple diamond,the medium pink diamond is positioned below a medium blue octagon,0.8864121437072754,0.0005916038062423468,0,0,0,1,0.14285714285714285,0,0,0
1862,a medium red octagon can be seen above a small black hexagon,below a small pink octagon is a big green hexagon,0.8579375743865967,0.0007399083115160465,0,0,0,1,0.14285714285714285,0,0,0
7464,a small orange diamond is below a big pink diamond,a small pink diamond is above a big orange circle,0.8984727263450623,0.0005287881358526647,0,0,0,3,0.42857142857142855,0,0,0
3289,a big orange circle is right of a small pink diamond,the small pink triangle is positioned right of a big pink octagon,0.8557667136192322,0.0007512148004025221,0,0,0,2,0.2857142857142857,1,0,0
695,a small yellow circle is below a small orange diamond,a small pink diamond is above a big orange circle,0.8745725750923157,0.0006532685365527868,0,0,0,2,0.2857142857142857,0,0,0
8049,a big black triangle is above a medium pink diamond,a medium pink triangle is right of a small purple circle,0.8525224924087524,0.0007681120769120753,0,0,0,1,0.14285714285714285,0,0,0
9820,right of a big pink square is a big pink circle,a medium pink square is right of a small pink octagon,0.842801570892334,0.000818741915281862,0,0,0,3,0.42857142857142855,1,0,0
4366,the big purple octagon is positioned below a big blue triangle,above a small blue triangle is a small purple octagon,0.8926254510879517,0.0005592427332885563,0,1,0,4,0.5714285714285714,0,1,0
7940,a big pink hexagon can be seen right of a big black hexagon,a big purple octagon can be seen right of a medium pink hexagon,0.8667519092559814,0.0006940005696378648,0,0,0,3,0.42857142857142855,1,0,0
6216,left of a small blue hexagon is a small yellow diamond,a small pink triangle is right of a medium orange diamond,0.8714678883552551,0.0006694389157928526,0,0,0,1,0.14285714285714285,0,0,0
6486,a big red octagon can be seen below a small yellow circle,below a small orange octagon is a big pink triangle,0.80720055103302,0.0010041642235592008,0,0,0,3,0.42857142857142855,1,0,0
3876,a medium green hexagon is above a medium pink circle,a medium pink hexagon can be seen above a small green circle,0.8742138147354126,0.0006551354308612645,0,1,0,4,0.5714285714285714,1,1,0
5731,the small red hexagon is positioned left of a medium green octagon,the small green hexagon is positioned right of a big pink octagon,0.8601952791213989,0.0007281494908966124,0,0,0,3,0.42857142857142855,0,1,0
6370,left of a big black octagon is a big pink octagon,left of a medium purple square is a big pink octagon,0.8671279549598694,0.0006920426967553794,0,0,0,4,0.5714285714285714,1,0,0
4430,the big purple circle is positioned left of a big red triangle,a medium pink triangle is right of a small purple circle,0.8760967254638672,0.0006453297683037817,0,0,0,0,0.0,0,0,0
3291,the small blue square is positioned right of a small yellow hexagon,a small blue octagon is right of a small pink circle,0.8029773831367493,0.0010261595016345382,0,0,0,4,0.5714285714285714,1,0,0
2801,the small yellow circle is positioned right of a medium blue square,a medium purple triangle can be seen left of a medium blue square,0.8136156797409058,0.0009707523859106004,0,0,0,3,0.42857142857142855,0,0,0
2433,a medium green square can be seen below a small green triangle,above a medium pink triangle is a big green square,0.8815521001815796,0.0006169162807054818,0,1,0,3,0.42857142857142855,0,1,0
6035,left of a small green triangle is a small pink diamond,left of a small green triangle is a small pink diamond,0.9172000885009766,0.0004312502278480679,1,1,1,7,1.0,1,1,1
7333,the small yellow square is positioned right of a medium purple diamond,right of a small purple diamond is a small pink octagon,0.8638143539428711,0.0007093008025549352,0,0,0,4,0.5714285714285714,1,0,0
8093,below a medium purple triangle is a big green hexagon,left of a medium pink hexagon is a big purple triangle,0.8758586049079895,0.000646569998934865,0,1,0,2,0.2857142857142857,0,0,0
4958,above a big pink diamond is a small blue square,a small pink triangle can be seen below a big blue square,0.8411401510238647,0.0008273955900222063,0,1,0,2,0.2857142857142857,0,0,0
6538,a small yellow hexagon can be seen right of a medium blue hexagon,the small pink diamond is positioned right of a medium blue hexagon,0.780174732208252,0.0011449238518252969,0,0,0,5,0.7142857142857143,1,0,0
4590,right of a big black triangle is a small purple octagon,a medium pink triangle is right of a small purple circle,0.8766876459121704,0.0006422518636099994,0,0,0,1,0.14285714285714285,1,0,0
9418,the medium purple octagon is positioned right of a small yellow circle,right of a small yellow circle is a medium purple octagon,0.8726156949996948,0.0006634601741097867,0,0,0,7,1.0,1,1,1
1553,a medium yellow triangle can be seen right of a big orange diamond,a small pink triangle is right of a medium orange diamond,0.8971514701843262,0.0005356694455258548,0,0,0,4,0.5714285714285714,1,1,0
5780,right of a small orange triangle is a small black diamond,a small pink triangle is right of a medium orange diamond,0.9036442637443542,0.0005018527735956013,0,0,0,3,0.42857142857142855,1,0,0
8274,a big blue hexagon can be seen left of a medium purple hexagon,a big pink octagon can be seen left of a medium blue hexagon,0.8632245659828186,0.0007123727700673044,0,0,0,4,0.5714285714285714,1,0,0
8572,the big green circle is positioned below a small purple diamond,left of a small green triangle is a small pink diamond,0.8549129962921143,0.0007556619239039719,0,0,0,1,0.14285714285714285,0,0,0
2463,the medium blue triangle is positioned left of a medium orange hexagon,a medium pink triangle is right of a small purple circle,0.8490817546844482,0.0007860332261770964,0,0,0,2,0.2857142857142857,0,0,0
9898,the small purple circle is positioned below a big blue hexagon,above a small pink hexagon is a small purple square,0.8390824794769287,0.000838112086057663,0,0,0,3,0.42857142857142855,0,0,0
6773,a medium green octagon can be seen right of a medium purple diamond,right of a small purple diamond is a small pink octagon,0.8818599581718445,0.0006153130088932812,0,0,0,4,0.5714285714285714,1,1,0
6166,the big blue circle is positioned left of a big green octagon,a small blue octagon is right of a small pink circle,0.8818483948707581,0.0006153731956146657,0,1,0,1,0.14285714285714285,0,0,0
8715,below a medium yellow circle is a small pink diamond,a small pink triangle is right of a medium orange diamond,0.8453941941261292,0.0008052389603108168,0,0,0,3,0.42857142857142855,0,0,0
6471,left of a big yellow octagon is a big purple diamond,right of a small purple diamond is a small pink octagon,0.9132306575775146,0.0004519246576819569,0,1,0,0,0.0,0,0,0
7294,a big purple hexagon is right of a small red square,above a small pink hexagon is a small purple square,0.8778457641601562,0.0006362201529555023,0,0,0,2,0.2857142857142857,0,0,0
6552,the medium blue triangle is positioned below a medium blue diamond,above a big pink triangle is a medium blue diamond,0.9088435173034668,0.00047477384214289486,0,0,0,2,0.2857142857142857,0,0,0
2527,a medium blue square is right of a big black hexagon,above a small pink hexagon is a small purple square,0.8603643178939819,0.0007272695074789226,0,0,0,2,0.2857142857142857,0,1,0
630,a small yellow square can be seen right of a big black square,a big pink square is right of a small orange circle,0.8034642338752747,0.0010236242087557912,0,0,0,2,0.2857142857142857,1,0,0
1053,a medium black circle can be seen right of a medium black triangle,a medium pink triangle is right of a small purple circle,0.7653104066848755,0.0012223414378240705,0,0,0,2,0.2857142857142857,1,0,0
2198,right of a big orange square is a medium pink triangle,right of a big orange square is a medium pink triangle,0.9306796789169312,0.00036104361061006784,1,1,1,7,1.0,1,1,1
4127,a big purple square can be seen above a medium red square,below a medium purple circle is a small pink square,0.8915649056434631,0.000564766931347549,0,1,0,2,0.2857142857142857,0,0,0
135,the small blue octagon is positioned left of a small red circle,left of a medium pink hexagon is a big purple triangle,0.8060479164123535,0.0010101675288751721,0,0,0,1,0.14285714285714285,1,0,0
127,the small orange diamond is positioned below a big purple square,a big purple square can be seen above a medium pink diamond,0.8648698329925537,0.0007038034382276237,0,0,0,0,0.0,0,0,0
9227,a big blue triangle is right of a big green triangle,right of a small green circle is a medium pink triangle,0.8601555824279785,0.0007283565937541425,0,0,0,3,0.42857142857142855,1,0,0
1731,a big blue octagon can be seen above a small red triangle,above a big pink triangle is a medium blue diamond,0.7988008260726929,0.0010479121701791883,0,0,0,3,0.42857142857142855,1,0,0
2540,a medium blue octagon can be seen below a small orange triangle,a medium pink triangle is right of a small purple circle,0.8282561302185059,0.0008944998844526708,0,0,0,2,0.2857142857142857,0,0,0
169,left of a small purple square is a medium orange circle,left of a medium purple square is a big pink octagon,0.8516054153442383,0.0007728888303972781,0,0,0,3,0.42857142857142855,1,0,0
1737,the small blue square is positioned below a big red hexagon,below a small pink hexagon is a medium red square,0.8501203060150146,0.0007806239300407469,0,0,0,3,0.42857142857142855,1,1,0
1834,a big pink square can be seen below a small green square,above a small pink hexagon is a small green square,0.8661167025566101,0.0006973090930841863,0,0,0,2,0.2857142857142857,0,0,0
5596,a medium pink square can be seen above a big red triangle,above a medium pink triangle is a small red square,0.8861381411552429,0.0005930312909185886,0,0,0,3,0.42857142857142855,1,1,0
3655,above a medium red hexagon is a big yellow hexagon,a medium pink hexagon is above a big orange square,0.8615629076957703,0.0007210271432995796,0,0,0,2,0.2857142857142857,1,0,0
3314,a medium black square can be seen right of a medium pink circle,right of a medium pink square is a small black octagon,0.8465912342071533,0.0007990035810507834,0,0,0,4,0.5714285714285714,1,0,0
7156,left of a medium pink hexagon is a big purple triangle,a medium pink triangle is right of a small purple circle,0.8747655153274536,0.0006522631738334894,0,1,0,1,0.14285714285714285,0,0,0
9250,the big purple octagon is positioned below a small purple diamond,a medium purple diamond can be seen right of a small pink octagon,0.9047826528549194,0.0004959238576702774,0,1,0,2,0.2857142857142857,0,0,0
7675,a small orange square can be seen below a medium green hexagon,a medium pink hexagon is above a big orange square,0.8569931983947754,0.0007448277901858091,0,0,0,0,0.0,0,0,0
2196,a big yellow square is below a big orange circle,a big pink square is above a medium yellow octagon,0.865565299987793,0.0007001808844506741,0,0,0,2,0.2857142857142857,0,0,0
3865,a medium blue diamond can be seen above a big green triangle,above a big pink triangle is a medium blue diamond,0.9139031171798706,0.0004484214587137103,0,0,0,6,0.8571428571428571,1,1,0
1749,the small red diamond is positioned left of a medium green diamond,a small purple diamond is right of a small green diamond,0.9020717144012451,0.0005100431735627353,0,0,0,4,0.5714285714285714,0,1,0
4426,right of a big black diamond is a medium yellow circle,a medium pink diamond is right of a big green circle,0.8671318888664246,0.0006920215091668069,0,0,0,3,0.42857142857142855,1,0,0
2944,a medium purple triangle is left of a small purple octagon,a medium pink triangle is right of a small purple circle,0.8896112442016602,0.0005749415722675622,0,1,0,4,0.5714285714285714,0,0,0
6624,a big black octagon can be seen left of a big orange hexagon,a big purple octagon can be seen right of a medium pink hexagon,0.8781536817550659,0.0006346162990666926,0,0,0,3,0.42857142857142855,0,1,0
6305,right of a medium orange diamond is a small black circle,right of a small purple diamond is a small pink octagon,0.8677442669868469,0.0006888315547257662,0,0,0,3,0.42857142857142855,1,0,0
1732,right of a small red circle is a big orange octagon,the big orange octagon is positioned right of a big pink hexagon,0.8697516918182373,0.0006783765857107937,0,0,0,4,0.5714285714285714,1,0,0
4906,the big green square is positioned below a medium blue diamond,a medium green square is above a small pink diamond,0.8890576958656311,0.0005778243648819625,0,1,0,3,0.42857142857142855,0,1,0
2393,a small pink hexagon can be seen right of a big black octagon,the small pink triangle is positioned right of a big pink octagon,0.8442568182945251,0.0008111624629236758,0,0,0,5,0.7142857142857143,1,0,0
9881,a big blue triangle can be seen below a big red hexagon,a big pink triangle is right of a medium red hexagon,0.8481943607330322,0.0007906548562459648,0,0,0,4,0.5714285714285714,0,1,0
4578,the small blue octagon is positioned below a big orange circle,below a small orange octagon is a big pink triangle,0.856545627117157,0.0007471583667211235,0,0,0,2,0.2857142857142857,1,0,0
7700,a big purple square can be seen above a medium pink diamond,below a medium purple circle is a small pink square,0.8624809980392456,0.0007162450929172337,0,0,0,2,0.2857142857142857,0,0,0
4112,a big green octagon can be seen left of a medium red square,left of a medium purple square is a big pink octagon,0.8406796455383301,0.0008297941531054676,0,0,0,5,0.7142857142857143,1,1,0
6604,below a small blue square is a big yellow circle,a big pink square is above a medium yellow octagon,0.8045597672462463,0.0010179184610024095,0,0,0,1,0.14285714285714285,0,0,0
2522,the medium blue diamond is positioned above a small blue octagon,the medium blue diamond is positioned left of a small pink triangle,0.8811070919036865,0.0006192342843860388,0,0,0,4,0.5714285714285714,0,0,0
1925,a medium blue circle can be seen above a small orange octagon,below a big pink hexagon is a medium orange diamond,0.8247677087783813,0.0009126685908995569,0,0,0,1,0.14285714285714285,0,0,0
1165,a small black triangle can be seen left of a medium red square,the medium red triangle is positioned right of a big pink square,0.8489363789558411,0.0007867899839766324,0,0,0,2,0.2857142857142857,0,1,0
