row_index,true_label,predicted_label,true_rank,reciprocal_rank,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,the big purple square is positioned below a small pink hexagon,942,0.0010615711252653928,0.9466972351074219,0.00034168476122431457,0,0,0,2,0.2857142857142857,1,0,0
7560,above a big green octagon is a small red triangle,a big green triangle is left of a medium black circle,542,0.0018450184501845018,0.973430335521698,0.00017031875904649496,0,0,0,1,0.14285714285714285,0,0,0
624,a small green hexagon can be seen above a medium blue octagon,the big purple square is positioned below a small pink hexagon,529,0.001890359168241966,0.9718501567840576,0.00018044865282718092,0,0,0,0,0.0,0,0,0
1616,a big yellow octagon is below a big pink diamond,the big purple square is positioned below a small pink hexagon,464,0.0021551724137931034,0.9739230871200562,0.00016716016398277134,0,0,0,3,0.42857142857142855,1,0,0
7246,right of a medium green hexagon is a medium black square,the big purple square is positioned below a small pink hexagon,596,0.0016778523489932886,0.968137264251709,0.0002042489213636145,0,0,0,2,0.2857142857142857,0,1,0
8414,the small red octagon is positioned below a small red diamond,the big purple square is positioned below a small pink hexagon,215,0.004651162790697674,0.9824268817901611,0.0001126481220126152,0,0,0,2,0.2857142857142857,1,0,0
1980,the big green circle is positioned right of a big orange octagon,the big purple square is positioned below a small pink hexagon,131,0.007633587786259542,0.9838137626647949,0.0001037580004776828,0,0,0,1,0.14285714285714285,0,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,the big purple square is positioned below a small pink hexagon,422,0.002369668246445498,0.9759818911552429,0.00015396189701277763,0,0,0,2,0.2857142857142857,0,0,0
495,a medium green circle can be seen right of a small blue square,the big purple square is positioned below a small pink hexagon,643,0.0015552099533437014,0.967071533203125,0.0002110802015522495,0,0,0,1,0.14285714285714285,0,0,0
6036,below a big purple square is a small yellow square,the big purple square is positioned below a small pink hexagon,633,0.001579778830963665,0.9657407999038696,0.0002196109271608293,0,0,0,2,0.2857142857142857,1,0,0
9756,the medium pink triangle is positioned left of a small black triangle,the big purple square is positioned below a small pink hexagon,702,0.0014245014245014246,0.9646472930908203,0.00022661943512503058,0,0,0,1,0.14285714285714285,0,0,0
3308,a big red diamond is left of a medium orange square,the big purple square is positioned below a small pink hexagon,2,0.5,0.9908469915390015,5.867360960110091e-05,0,1,0,1,0.14285714285714285,0,0,0
5485,a small yellow circle is left of a big yellow diamond,the big purple square is positioned below a small pink hexagon,68,0.014705882352941176,0.9865071773529053,8.64936737343669e-05,0,0,0,0,0.0,0,0,0
2499,a medium pink diamond can be seen above a big yellow circle,the big purple square is positioned below a small pink hexagon,819,0.001221001221001221,0.9589179754257202,0.0002633470285218209,0,0,0,0,0.0,0,0,0
355,the big pink hexagon is positioned below a big orange triangle,the big purple square is positioned below a small pink hexagon,703,0.001422475106685633,0.9653041958808899,0.00022240914404392242,0,0,0,2,0.2857142857142857,1,0,0
3868,the medium orange hexagon is positioned above a small black circle,the small red triangle is positioned above a big black hexagon,162,0.006172839506172839,0.9857827425003052,9.113656415138394e-05,0,0,0,2,0.2857142857142857,1,0,0
422,the big purple octagon is positioned right of a small green hexagon,the big purple square is positioned below a small pink hexagon,103,0.009708737864077669,0.9846920371055603,9.812817006604746e-05,0,0,0,4,0.5714285714285714,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,the big purple square is positioned below a small pink hexagon,133,0.007518796992481203,0.9835859537124634,0.00010521888179937378,0,0,0,2,0.2857142857142857,0,0,0
7102,a big orange triangle is left of a medium green hexagon,the big purple square is positioned below a small pink hexagon,273,0.003663003663003663,0.9802515506744385,0.0001265933533431962,0,0,0,2,0.2857142857142857,0,0,0
