filename,sentence_id
b_0.png,b_0
b_1.png,b_1
b_2.png,b_2
b_3.png,b_3
b_4.png,b_4
b_5.png,b_5
b_6.png,b_6
b_7.png,b_7
b_8.png,b_8
b_9.png,b_9
b_10.png,b_10
b_11.png,b_11
b_12.png,b_12
b_13.png,b_13
b_14.png,b_14
b_15.png,b_15
b_16.png,b_16
b_17.png,b_17
b_18.png,b_18
b_19.png,b_19
b_20.png,b_20
b_21.png,b_21
b_22.png,b_22
b_23.png,b_23
b_24.png,b_24
b_25.png,b_25
b_26.png,b_26
b_27.png,b_27
b_28.png,b_28
b_29.png,b_29
b_30.png,b_30
b_31.png,b_31
b_32.png,b_32
b_33.png,b_33
b_34.png,b_34
b_35.png,b_35
b_36.png,b_36
b_37.png,b_37
b_38.png,b_38
b_39.png,b_39
b_40.png,b_40
b_41.png,b_41
b_42.png,b_42
b_43.png,b_43
b_44.png,b_44
b_45.png,b_45
b_46.png,b_46
b_47.png,b_47
b_48.png,b_48
b_49.png,b_49
b_50.png,b_50
b_51.png,b_51
b_52.png,b_52
b_53.png,b_53
b_54.png,b_54
b_55.png,b_55
b_56.png,b_56
b_57.png,b_57
b_58.png,b_58
b_59.png,b_59
b_60.png,b_60
b_61.png,b_61
b_62.png,b_62
b_63.png,b_63
b_64.png,b_64
b_65.png,b_65
b_66.png,b_66
b_67.png,b_67
b_68.png,b_68
b_69.png,b_69
b_70.png,b_70
b_71.png,b_71
b_72.png,b_72
b_73.png,b_73
b_74.png,b_74
b_75.png,b_75
b_76.png,b_76
b_77.png,b_77
b_78.png,b_78
b_79.png,b_79
b_80.png,b_80
b_81.png,b_81
b_82.png,b_82
b_83.png,b_83
b_84.png,b_84
b_85.png,b_85
b_86.png,b_86
b_87.png,b_87
b_88.png,b_88
b_89.png,b_89
b_90.png,b_90
b_91.png,b_91
b_92.png,b_92
b_93.png,b_93
b_94.png,b_94
b_95.png,b_95
b_96.png,b_96
b_97.png,b_97
b_98.png,b_98
b_99.png,b_99
b_100.png,b_100
b_101.png,b_101
b_102.png,b_102
b_103.png,b_103
b_104.png,b_104
b_105.png,b_105
b_106.png,b_106
b_107.png,b_107
b_108.png,b_108
b_109.png,b_109
b_110.png,b_110
b_111.png,b_111
b_112.png,b_112
b_113.png,b_113
b_114.png,b_114
b_115.png,b_115
b_116.png,b_116
b_117.png,b_117
b_118.png,b_118
b_119.png,b_119
b_120.png,b_120
b_121.png,b_121
b_122.png,b_122
b_123.png,b_123
b_124.png,b_124
b_125.png,b_125
b_126.png,b_126
b_127.png,b_127
b_128.png,b_128
b_129.png,b_129
b_130.png,b_130
b_131.png,b_131
b_132.png,b_132
b_133.png,b_133
b_134.png,b_134
b_135.png,b_135
